starttime,group_index
2025-04-15 03:58:12.460250,0
2025-04-15 03:58:13.163861,1
2025-04-15 03:58:14.033383,2
2025-04-15 03:58:14.758561,3
2025-04-15 03:58:15.570619,4
2025-04-15 03:58:16.280952,5
2025-04-15 03:58:17.387205,6
2025-04-15 03:58:18.160434,7
2025-04-15 03:58:18.915145,8
2025-04-15 03:58:19.694238,9
2025-04-15 03:58:20.731438,10
2025-04-15 03:58:21.650950,11
2025-04-15 03:58:22.738473,12
2025-04-15 03:58:23.784443,13
2025-04-15 03:58:24.873237,14
2025-04-15 03:58:26.039428,15
2025-04-15 03:58:27.169360,16
2025-04-15 03:58:28.034491,17
2025-04-15 03:58:28.946808,18
2025-04-15 03:58:29.780696,19
2025-04-15 03:58:30.675559,20
2025-04-15 03:58:31.457563,21
2025-04-15 03:58:32.256232,22
2025-04-15 03:58:33.037804,23
2025-04-15 03:58:33.904880,24
2025-04-15 03:58:34.798349,25
2025-04-15 03:58:35.588198,26
2025-04-15 03:58:36.414790,27
2025-04-15 03:58:37.265636,28
2025-04-15 03:58:38.070906,29
2025-04-15 03:58:38.875255,30
2025-04-15 03:58:39.944233,31
2025-04-15 03:58:40.853612,32
2025-04-15 03:58:41.619187,33
2025-04-15 03:58:42.566094,34
2025-04-15 03:58:43.461543,35
2025-04-15 03:58:44.298178,36
2025-04-15 03:58:45.103249,37
2025-04-15 03:58:45.907582,38
2025-04-15 03:58:46.801955,39
2025-04-15 03:58:47.759556,40
2025-04-15 03:58:48.597550,41
2025-04-15 03:58:49.514378,42
2025-04-15 03:58:50.532906,43
2025-04-15 03:58:51.403304,44
2025-04-15 03:58:52.255344,45
2025-04-15 03:58:53.073897,46
2025-04-15 03:58:54.138609,47
2025-04-15 03:58:55.100485,48
2025-04-15 03:58:55.986344,49
2025-04-15 03:58:56.916857,50
2025-04-15 03:58:57.782645,51
2025-04-15 03:58:58.622151,52
2025-04-15 03:58:59.440186,53
2025-04-15 03:59:00.237782,54
2025-04-15 03:59:01.045695,55
2025-04-15 03:59:01.948454,56
2025-04-15 03:59:02.798787,57
2025-04-15 03:59:03.556575,58
2025-04-15 03:59:04.305807,59
2025-04-15 03:59:05.072636,60
2025-04-15 03:59:05.807839,61
2025-04-15 03:59:06.596988,62
2025-04-15 03:59:07.365922,63
2025-04-15 03:59:08.152635,64
2025-04-15 03:59:08.973700,65
2025-04-15 03:59:09.696132,66
2025-04-15 03:59:10.390528,67
2025-04-15 03:59:11.057559,68
2025-04-15 03:59:11.853298,69
2025-04-15 03:59:12.604746,70
2025-04-15 03:59:13.364420,71
2025-04-15 03:59:14.181603,72
2025-04-15 03:59:14.956789,73
2025-04-15 03:59:15.725093,74
2025-04-15 03:59:16.503986,75
2025-04-15 03:59:17.280145,76
2025-04-15 03:59:18.035482,77
2025-04-15 03:59:18.790898,78
2025-04-15 03:59:19.500342,79
2025-04-15 03:59:20.264174,80
2025-04-15 03:59:20.936389,81
2025-04-15 03:59:21.749754,82
2025-04-15 03:59:22.491826,83
2025-04-15 03:59:23.260434,84
2025-04-15 03:59:24.071976,85
2025-04-15 03:59:24.809049,86
2025-04-15 03:59:25.574430,87
2025-04-15 03:59:26.185610,88
2025-04-15 03:59:26.984795,89
2025-04-15 03:59:27.693112,90
2025-04-15 03:59:28.437292,91
2025-04-15 03:59:29.203740,92
2025-04-15 03:59:30.052997,93
2025-04-15 03:59:30.825800,94
2025-04-15 03:59:31.620978,95
2025-04-15 03:59:32.292849,96
2025-04-15 03:59:33.110195,97
2025-04-15 03:59:33.865571,98
2025-04-15 03:59:34.595609,99
2025-04-15 03:59:35.517845,100
2025-04-15 03:59:36.243250,101
2025-04-15 03:59:36.924556,102
2025-04-15 03:59:37.784510,103
2025-04-15 03:59:38.485230,104
2025-04-15 03:59:39.236878,105
2025-04-15 03:59:39.978389,106
2025-04-15 03:59:40.797766,107
2025-04-15 03:59:41.417924,108
