User,Method,FRR,FAR,EER,Accuracy,Model Type
User 1,RMS+Z-score,0.19047619047619047,0.0,0.09523809523809523,0.9047619047619048,autoencoder
User 2,RMS+Z-score,0.22857142857142856,0.05714285714285714,0.14285714285714285,0.8571428571428571,autoencoder
User 3,RMS+Z-score,0.24489795918367346,0.32653061224489793,0.2857142857142857,0.7142857142857143,autoencoder
User 4,RMS+Z-score,0.2,0.03333333333333333,0.11666666666666667,0.8833333333333333,autoencoder
User 1,2-Level Derivative,0.23809523809523808,0.19047619047619047,0.21428571428571427,0.7857142857142857,autoencoder
User 2,2-Level Derivative,0.34285714285714286,0.02857142857142857,0.18571428571428572,0.8142857142857143,autoencoder
User 3,2-Level Derivative,0.1836734693877551,0.2857142857142857,0.2346938775510204,0.7653061224489796,autoencoder
User 4,2-Level Derivative,0.43333333333333335,0.06666666666666667,0.25,0.75,binary classifier
User 1,RMS+Z-score,0.25,0.0,0.125,0.9850746268656716,binary classifier
User 2,RMS+Z-score,0.17142857142857143,0.020202020202020204,0.09581529581529581,0.9701492537313433,binary classifier
User 3,RMS+Z-score,0.10204081632653061,0.0,0.05102040816326531,0.9626865671641791,binary classifier
User 4,RMS+Z-score,0.1,0.009615384615384616,0.05480769230769231,0.9776119402985075,binary classifier
User 1,2-Level Derivative,0.0,0.0,0.0,1.0,binary classifier
User 2,2-Level Derivative,0.0,0.010101010101010102,0.005050505050505051,0.9925373134328358,binary classifier
User 3,2-Level Derivative,0.14285714285714285,0.011764705882352941,0.0773109243697479,0.9701492537313433,binary classifier
User 4,2-Level Derivative,0.06666666666666667,0.0,0.03333333333333333,1.0,binary classifier
